0.36491162,1.0,0.65696716,0.5351121,0.4196471,0.31628597,0.25122854,0.15816997,0.11847653,0.2302335,0.4008435,0.2117607
0.28932524,1.0,0.5280783,0.36789203,0.17937568,0.074687555,0.09593107,0.10434017,0.056576885,0.08158458,0.23055814,0.13962117
0.34154946,1.0,0.46955463,0.3376116,0.17522535,0.049661625,0.07846515,0.083449334,0.06469375,0.07232135,0.1858916,0.16468027
0.24639538,1.0,0.72308296,0.4460775,0.21365711,0.11899469,0.10023787,0.07867359,0.124334164,0.116708115,0.12284021,0.14648087
0.20269147,1.0,0.7831857,0.429517,0.28526887,0.0820477,0.06666753,0.0944815,0.10039087,0.08904644,0.14901847,0.34173316
0.38593912,1.0,0.745888,0.45231333,0.31321806,0.16296421,0.12578265,0.19955568,0.17935619,0.127291,0.3529236,0.91123086
0.5169627,0.5397822,1.0,0.60766375,0.39498106,0.23786362,0.1530784,0.22571544,0.24565016,0.28987014,0.96682096,0.982737
0.32677346,0.18976717,0.2765966,0.18795979,0.16597824,0.19582793,0.11700344,0.18851808,0.22444098,0.2141007,0.79480225,1.0
0.47687224,0.17803036,0.21379288,0.14871648,0.08003778,0.1073097,0.0922722,0.101643324,0.16336335,0.15391411,0.38525242,1.0
1.0,0.68348676,0.8590334,0.7940887,0.32039285,0.2879093,0.30394194,0.4299973,0.75491774,0.39216083,0.4710515,0.8395978
0.66375655,1.0,0.40194365,0.30685103,0.20302393,0.20651262,0.4652803,0.8776131,0.57856643,0.2878315,0.24581262,0.18599112
0.6521533,1.0,0.33512026,0.1637013,0.18782347,0.29530978,0.6142128,0.6793,0.44471937,0.33757535,0.34269533,0.24062079
0.75723845,1.0,0.466673,0.19150528,0.2234829,0.68232554,0.8311378,0.56080276,0.4582647,0.44305462,0.2544472,0.21665032
0.37474898,0.4064685,0.13978857,0.11353514,0.20236796,0.37853023,0.48939785,1.0,0.6189557,0.20845032,0.17623533,0.10416649
