1.0,0.20050217,0.077275984,0.06901816,0.05898933,0.051659245,0.10852144,0.16995412,0.14384559,0.44167244,0.3668926,0.76323766
1.0,0.09720113,0.026846504,0.042499773,0.043511618,0.014855262,0.0624381,0.13230768,0.09931366,0.31782517,0.28550258,0.62842375
1.0,0.13775481,0.030929368,0.03194122,0.044698063,0.014184075,0.032751855,0.06398677,0.050153054,0.121869326,0.12119306,0.47736356
1.0,0.16567767,0.07103667,0.07090493,0.16633047,0.11706581,0.08953152,0.072390184,0.047769547,0.08191339,0.12900066,0.72542137
0.5095684,0.15795638,0.052341994,0.07044806,0.14683129,0.14791138,0.10564039,0.071631774,0.08148499,0.1417537,0.46994367,1.0
0.58584315,0.16693643,0.031238625,0.03726893,0.038698524,0.022235282,0.033184405,0.045104124,0.13443123,0.6708378,1.0,0.6605034
0.3639222,0.08116905,0.018938512,0.015213654,0.012450609,0.018777043,0.042496026,0.04421317,0.09893427,0.58402777,1.0,0.61725277
0.4637336,0.055763386,0.032587066,0.029031068,0.033724703,0.07127682,0.10789887,0.07164471,0.10542196,0.41466966,1.0,0.92386264
0.84186727,0.21815036,0.18370023,0.24179025,0.33235237,0.3034391,0.28967482,0.65809906,0.8733046,0.6284026,1.0,0.9266627
0.56588465,0.19098146,0.114100546,0.12218368,0.23318031,0.16424583,0.22595131,0.8114181,1.0,0.81163317,0.62293416,0.8157933
0.72515064,0.23650381,0.11788536,0.15918095,0.23624906,0.13923487,0.17989793,0.4661441,0.43305227,0.9199038,0.97799426,1.0
0.6563468,0.20429622,0.12215433,0.14286333,0.16356243,0.13944006,0.11113277,0.26547882,0.4666128,1.0,0.92350113,0.76340216
0.78164387,0.3042418,0.23683889,0.15049587,0.19685599,0.24710318,0.19721702,0.4541945,0.64229923,1.0,0.81579345,0.64732325
0.5039671,0.22829902,0.18720417,0.14182049,0.18331838,0.14030904,0.1495703,0.44635192,0.70088977,0.9650702,1.0,0.6124591
0.34980744,0.14111453,0.10665168,0.09637988,0.10851439,0.09711475,0.13275766,0.2311994,0.47695458,0.75876427,1.0,0.6240299
0.7680878,0.32294428,0.1807605,0.1474673,0.18039218,0.15758601,0.20999257,0.38538593,0.91906965,1.0,0.96510506,0.97402453
1.0,0.41247252,0.25927368,0.22349122,0.25410828,0.2433111,0.24825507,0.30350003,0.49672744,0.44377607,0.430828,0.68806475
1.0,0.39294577,0.20953207,0.20134783,0.2501587,0.30587274,0.3466479,0.28485754,0.24767496,0.32519013,0.37014002,0.5864924
1.0,0.81681573,0.67204976,0.28087732,0.19413763,0.278388,0.30022213,0.22224559,0.20831214,0.23012406,0.33816034,0.5858859
1.0,0.7247962,0.63938165,0.26100174,0.15098679,0.20462884,0.14492695,0.10929852,0.07740984,0.1498593,0.4602259,0.722913
1.0,0.63698137,0.34025258,0.13663869,0.16685162,0.24018776,0.17984873,0.11043602,0.042510033,0.102616094,0.41874886,0.6808105
1.0,0.64453274,0.25218117,0.10072314,0.25687784,0.57389903,0.55607,0.20342849,0.059133932,0.1130004,0.36719525,0.67353576
0.5546321,0.34709477,0.18086353,0.1314219,0.23336048,0.6850545,1.0,0.8067573,0.22020061,0.116531774,0.15082078,0.4097868
0.38608375,0.7233997,0.3902073,0.19293712,0.34652197,1.0,0.9190562,0.96456754,0.57981986,0.21305737,0.08004473,0.20167291
0.09691043,0.33243367,0.20080233,0.16854793,0.27163288,1.0,0.48824668,0.43471652,0.4790968,0.2222111,0.18065697,0.051867906
0.08683609,0.11751592,0.23887835,0.5844368,0.3431875,1.0,0.46036878,0.39973125,0.14981697,0.23155144,0.530113,0.0854224
0.09406702,0.14853624,0.5515065,1.0,0.31389457,0.7291982,0.30867183,0.297655,0.08600861,0.12621312,0.35918322,0.06445455
0.21205363,0.40655604,1.0,0.9354006,0.23213819,0.4196614,0.20168057,0.17591521,0.117521994,0.096376635,0.12658016,0.081858344
1.0,0.63158286,0.30908313,0.31535843,0.091572605,0.16577992,0.2163266,0.28929418,0.14662395,0.16941485,0.31228098,0.37816134
1.0,0.46070558,0.22342882,0.19516712,0.065622285,0.12593316,0.19172584,0.3328833,0.24091099,0.2780196,0.40809166,0.70304775
0.27701464,0.25655755,0.45192418,0.6300389,0.18099287,0.2967968,0.3682357,0.8193211,1.0,0.6586762,0.24944957,0.2405164
0.25468922,0.23818123,0.4433408,0.6142716,0.21610896,0.34278518,0.5165712,1.0,0.8357475,0.5426772,0.37724575,0.30546105
0.610438,0.35674548,0.4288964,0.5393445,0.5167948,0.66428596,0.6580881,1.0,0.37426794,0.2669495,0.5486154,0.80171967
0.1705201,0.1639947,0.16226184,0.118607365,0.28696933,0.847515,1.0,0.73775107,0.38920882,0.2464073,0.33834177,0.29031238
