0.0,136.6156027863951,0.46486408
0.01,139.24049558704195,0.13410248
0.02,141.4887872206713,0.1382873
0.03,150.1788552472053,0.11390904
0.04,156.80246106773328,0.1614987
0.05,154.8774732858275,0.47358644
0.06,153.78818138983718,0.72426784
0.07,149.53803408770563,0.27301335
0.08,161.42139162394417,0.35759595
0.09,176.9240070489673,0.6602713
0.1,195.08416275269906,0.74179095
0.11,221.6467917425835,0.47040352
0.12,237.26423534252,0.3354379
0.13,241.2079578046123,0.7438512
0.14,243.44163155613182,0.87427
0.15,244.70696096838392,0.9249396
0.16,245.71340914558917,0.914938
0.17,246.32077276874037,0.9140506
0.18,245.84448780355274,0.9392578
0.19,244.11882832431684,0.899536
0.2,240.87696161780383,0.84651226
0.21,236.73702621811347,0.7664798
0.22,231.69170459944112,0.7683966
0.23,228.8919132570253,0.83877456
0.24,227.14349950404525,0.84772646
0.25,225.4596147404505,0.8901706
0.26,224.48862303867472,0.8781596
0.27,223.5661820187275,0.90100086
0.28,222.7815848236678,0.8619606
0.29,222.80243738016762,0.75424284
0.3,223.8092163748463,0.58445984
0.31,224.60847651194686,0.5379234
0.32,225.83241660081603,0.6271187
0.33,230.7645040642723,0.57024366
0.34,233.33472140647223,0.41865295
0.35,235.34772548039825,0.6078388
0.36,234.9805387185279,0.7203719
0.37,231.91476822924324,0.5560741
0.38,224.01692916361458,0.50926316
0.39,219.27717548991865,0.21114044
0.4,225.9366818967195,0.32975188
0.41,233.7228136978086,0.62529594
0.42,245.27504039676174,0.74757606
0.43,258.97152445386683,0.6142658
0.44,263.5359589690813,0.33289316
0.45,265.9761396498184,0.212448
0.46,287.9679780457131,0.4030457
0.47,324.97206318092776,0.44345483
0.48,343.24130180071836,0.39585114
0.49,351.8320482151225,0.8545668
0.5,353.1260617736598,0.8940531
0.51,352.6488492585486,0.89149755
0.52,349.80975571266913,0.78833973
0.53,348.6238254662086,0.611617
0.54,340.0564030209148,0.47743014
0.55,328.5421238051081,0.25276098
0.56,296.64416678373,0.43444377
0.57,266.9646980035853,0.19827662
0.58,239.51566912252065,0.33742934
0.59,252.19678209999316,0.5233981
0.6,258.60457288822795,0.6050067
0.61,260.01231876474066,0.813106
0.62,263.2828462267667,0.8550255
0.63,267.8020321588833,0.8959462
0.64,269.6593645302044,0.905562
0.65,268.92003229908886,0.7993822
0.66,291.56777467593497,0.60308844
0.67,306.60451333453295,0.67024904
0.68,312.3817104222842,0.7129648
0.69,317.73532890656304,0.7130217
0.7,322.9711455512826,0.8119121
0.71,325.91100314894703,0.8284719
0.72,325.15284590148224,0.7437995
0.73,322.21652845576716,0.63289475
0.74,287.8384941356503,0.34853813
0.75,284.1168660546296,0.6607553
0.76,275.8864988228503,0.8390606
0.77,271.4367168313022,0.83560896
0.78,263.09472773614823,0.6900365
0.79,256.5100312367035,0.8991867
0.8,256.68499869659234,0.9440848
0.81,258.8139849510083,0.8186231
0.82,263.17631560231086,0.72364646
0.83,267.9951520155931,0.5326279
0.84,303.0171071042346,0.29264432
0.85,314.91057572069286,0.36656818
0.86,353.45400720189565,0.6737201
0.87,360.08613502144846,0.69460505
0.88,366.3536707070267,0.76694274
0.89,361.9945347639651,0.5948817
0.9,347.9095428456842,0.58526653
0.91,336.053153730837,0.554786
0.92,317.2380201752362,0.49317008
0.93,302.81879787380143,0.5341819
0.94,294.2448931150666,0.42823735
0.95,270.6283522807649,0.83872366
0.96,266.9762287148698,0.9188047
0.97,268.02495119636734,0.87894934
0.98,274.34353903197723,0.8165111
0.99,291.46215312913137,0.7009178
1.0,321.1177462268594,0.341829
1.01,329.63674849889105,0.66513026
1.02,332.6613005366025,0.69644016
1.03,335.27905880712404,0.60686046
1.04,331.0210862419305,0.21334548
1.05,304.71973416741844,0.35229114
1.06,270.1463043003056,0.3103164
