fold,type,rank,song_name,time_range,loss,acc,f1_macro
fold10_0314_215039,highest,1,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,0-30s,25.029821,0.013468,0.032258
fold10_0314_215039,highest,2,493c43bc-07-김소희-춘향가_춘향_어사또_상봉_대목_vocal.mid,30-60s,16.8638,0.0,0.0
fold10_0314_215039,highest,3,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,30-60s,9.712736,0.248322,0.134058
fold10_0314_215039,highest,4,6ead917b-05-심청가_심봉사_함께_죽기로_작정하는데주과포혜_vocal.mid,60-90s,8.143612,0.0,0.0
fold10_0314_215039,highest,5,0b63b81e-04-03_심청가_--_곽씨_장사-03_vocal.mid,300-330s,7.826048,0.25,0.1
fold10_0314_215039,highest,6,6ead917b-05-심청가_심봉사_함께_죽기로_작정하는데주과포혜_vocal.mid,30-60s,6.515994,0.0,0.0
fold10_0314_215039,highest,7,b43b56d6-03-성우향-춘향가_이도령이_광한루에서_구경하는_데적성가춘향이_등장하는_데_vocal.mid,150-180s,6.016744,0.0,0.0
fold10_0314_215039,highest,8,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,180-210s,5.450592,0.0,0.0
fold10_0314_215039,highest,9,f227bc1b-05-광한루_풍경V천자뒤푸리_vocal.mid,150-180s,4.914297,0.0,0.0
fold10_0314_215039,highest,10,2073c5ba-03-심청가_심봉사_공양미_삼백석_권선하는데심청_아버지를_위로하는데_vocal.mid,240-270s,4.798113,0.447552,0.322462
fold10_0314_215039,lowest,1,cd662ce9-01-김소희-춘향가_초입_vocal.mid,60-90s,8.3e-05,1.0,0.25
fold10_0314_215039,lowest,2,cd662ce9-01-김소희-춘향가_초입_vocal.mid,30-60s,0.000117,1.0,0.25
fold10_0314_215039,lowest,3,e9ffa7bc-27-01_심청가_--_심봉사_목욕-01_vocal.mid,150-180s,0.000314,1.0,0.25
fold10_0314_215039,lowest,4,c5fceb5f-오케-심청전11_vocal.mid,150-180s,0.000316,1.0,0.25
fold10_0314_215039,lowest,5,389c147d-11-01_심청가_--_심청_떠남-01_vocal.mid,480-510s,0.000336,1.0,0.25
fold10_0314_215039,lowest,6,2073c5ba-03-심청가_심봉사_공양미_삼백석_권선하는데심청_아버지를_위로하는데_vocal.mid,210-240s,0.00043,1.0,0.25
fold10_0314_215039,lowest,7,8b4d0824-02-조상현-춘향가_그때의_어사또는엇중몰이_vocal.mid,960-990s,0.000464,1.0,0.25
fold10_0314_215039,lowest,8,8b4d0824-02-조상현-춘향가_그때의_어사또는엇중몰이_vocal.mid,1050-1080s,0.000473,1.0,0.25
fold10_0314_215039,lowest,9,12e5ae60-02-박동진-적벽가_적벽대전_vocal.mid,90-120s,0.000489,1.0,0.25
fold10_0314_215039,lowest,10,c5fceb5f-오케-심청전11_vocal.mid,30-60s,0.000524,1.0,0.25
fold1_0314_181717,highest,1,ed10d9c2-02-조상현-춘향가_사령_뒤를_따라간다진양_vocal.mid,210-240s,6.55666,0.0,0.0
fold1_0314_181717,highest,2,b80be517-02-조상현-춘향가_못허지야못허지야늦은_중몰이_vocal.mid,0-30s,4.67731,0.0,0.0
fold1_0314_181717,highest,3,02b8fd02-08-박초월-수궁가_토끼가_독수리_밥이_될뻔하다_살아나는데끝_vocal.mid,150-180s,3.603915,0.0,0.0
fold1_0314_181717,highest,4,cf0f2a2c-02-이일주-심청가_뺑덕이네_가산_탕진_vocal.mid,150-180s,3.564911,0.198653,0.082865
fold1_0314_181717,highest,5,48f15406-03-광한루_풍경III_vocal.mid,60-90s,3.517298,0.0,0.0
fold1_0314_181717,highest,6,1930d2b7-01-김소희-춘향가_오리정_이별_대목_vocal.mid,510-540s,3.465579,0.31,0.178846
fold1_0314_181717,highest,7,c642cab9-04-안숙선-적벽가_군사점고_허무적이_vocal.mid,90-120s,2.939177,0.426667,0.149533
fold1_0314_181717,highest,8,ef6dedde-04-오정숙-흥보가_흥보_가난하게_삶_vocal.mid,180-210s,2.874512,0.166102,0.096838
fold1_0314_181717,highest,9,0b67d588-24-04_심청가_--_심봉사_황성길-04_vocal.mid,210-240s,2.732374,0.0,0.0
fold1_0314_181717,highest,10,b80be517-02-조상현-춘향가_못허지야못허지야늦은_중몰이_vocal.mid,930-960s,2.687597,0.71,0.207602
fold1_0314_181717,lowest,1,590010d6-03_박망파_싸움_vocal.mid,0-30s,0.000578,1.0,0.25
fold1_0314_181717,lowest,2,c642cab9-04-안숙선-적벽가_군사점고_허무적이_vocal.mid,120-150s,0.000924,1.0,0.25
fold1_0314_181717,lowest,3,ed10d9c2-02-조상현-춘향가_사령_뒤를_따라간다진양_vocal.mid,390-420s,0.000984,1.0,0.25
fold1_0314_181717,lowest,4,b1abd2b9-05-박록주-흥보가_놀보가_흥보집을_찾아가는_데_vocal.mid,0-30s,0.001131,1.0,0.25
fold1_0314_181717,lowest,5,5cdff021-04-박초월-수궁가_수궁풍류별주부_울며_용왕에게_아뢰는데_vocal.mid,0-30s,0.001236,1.0,0.25
fold1_0314_181717,lowest,6,590010d6-03_박망파_싸움_vocal.mid,60-90s,0.001733,1.0,0.25
fold1_0314_181717,lowest,7,ed10d9c2-02-조상현-춘향가_사령_뒤를_따라간다진양_vocal.mid,540-570s,0.002398,1.0,0.25
fold1_0314_181717,lowest,8,bf61270b-01-안숙선-적벽가_도원결의_vocal.mid,0-30s,0.003964,1.0,0.25
fold1_0314_181717,lowest,9,ef6dedde-04-오정숙-흥보가_흥보_가난하게_삶_vocal.mid,240-270s,0.0042,1.0,0.25
fold1_0314_181717,lowest,10,9d0ba18c-오케-심청전22_vocal.mid,30-60s,0.004433,1.0,0.25
fold2_0314_181717,highest,1,ea602e0b-04-김소희-춘향가_사또_잔칫날_어사_수작하는_대목_vocal.mid,600-630s,13.608942,0.0,0.0
fold2_0314_181717,highest,2,7cdb0758-03-김연수-적벽가_조조_군사들의_처참한_신세_vocal.mid,240-270s,12.847722,0.0,0.0
fold2_0314_181717,highest,3,70188138-04-안향련-심청가_심봉사_딸_기르는_대목_중머리집이라고_들어서니중중머리우물가_두레박느진중중머리아가_내_딸이야_vocal.mid,0-30s,8.655771,0.055363,0.02623
fold2_0314_181717,highest,4,2f560e4d-오케-심청전19_vocal.mid,60-90s,7.493182,0.328859,0.123737
fold2_0314_181717,highest,5,7cdb0758-03-김연수-적벽가_조조_군사들의_처참한_신세_vocal.mid,270-300s,7.233486,0.071918,0.073427
fold2_0314_181717,highest,6,6604f8f6-06-김일구-적벽가_조조살려_달라고_비는데_vocal.mid,240-270s,6.664773,0.525424,0.172222
fold2_0314_181717,highest,7,6604f8f6-06-김일구-적벽가_조조살려_달라고_비는데_vocal.mid,270-300s,6.527134,0.588629,0.25
fold2_0314_181717,highest,8,ea602e0b-04-김소희-춘향가_사또_잔칫날_어사_수작하는_대목_vocal.mid,420-450s,6.525453,0.0,0.0
fold2_0314_181717,highest,9,2f560e4d-오케-심청전19_vocal.mid,180-210s,5.762847,0.446309,0.163793
fold2_0314_181717,highest,10,a40c9efd-05-김소희-춘향가_이도령_춘향이_그네타는_모습_보는_대목_vocal.mid,30-60s,4.99055,0.0,0.0
fold2_0314_181717,lowest,1,ba1437bc-05-김소희-춘향가_춘향모친_자탄대목_vocal.mid,180-210s,0.000194,1.0,0.25
fold2_0314_181717,lowest,2,e4338e78-07-안숙선-적벽가_조조_관공께_비는_데_vocal.mid,180-210s,0.000471,1.0,0.25
fold2_0314_181717,lowest,3,54fc4694-04-박동진-심청가_심청이_물에_드는_대목_vocal.mid,390-420s,0.000655,1.0,0.25
fold2_0314_181717,lowest,4,333a38c4-11-03_심청가_--_심청_떠남-03_vocal.mid,30-60s,0.000745,1.0,0.25
fold2_0314_181717,lowest,5,ba1437bc-05-김소희-춘향가_춘향모친_자탄대목_vocal.mid,210-240s,0.000789,1.0,0.25
fold2_0314_181717,lowest,6,6e7a3aa4-05-박동진-심청가_심청이_수궁에_가는_대목_vocal.mid,0-30s,0.00079,1.0,0.25
fold2_0314_181717,lowest,7,a638fc38-오케-심청전20_vocal.mid,30-60s,0.000971,1.0,0.25
fold2_0314_181717,lowest,8,530c59bc-14-신금홍-심청_자탄_vocal.mid,60-90s,0.00103,1.0,0.25
fold2_0314_181717,lowest,9,a638fc38-오케-심청전20_vocal.mid,90-120s,0.001236,1.0,0.25
fold2_0314_181717,lowest,10,530c59bc-14-신금홍-심청_자탄_vocal.mid,90-120s,0.001291,1.0,0.25
fold3_0314_181717,highest,1,f38d7f9e-05-이일주-심청가_심청_모녀_상봉_vocal.mid,30-60s,10.624009,0.0,0.0
fold3_0314_181717,highest,2,0fc95dae-07-이일주-심청가_심봉사_개안_vocal.mid,360-390s,5.441239,0.64094,0.195297
fold3_0314_181717,highest,3,0fc95dae-07-이일주-심청가_심봉사_개안_vocal.mid,540-570s,3.210324,0.290657,0.112601
fold3_0314_181717,highest,4,a35f585a-03-박초월-수궁가_토끼_용왕_속이는_대목_vocal.mid,420-450s,2.804136,0.278169,0.108815
fold3_0314_181717,highest,5,f5c7134a-04-성우향-춘향가_갈까부다돈타령_vocal.mid,420-450s,2.57345,0.347079,0.227584
fold3_0314_181717,highest,6,be7debf2-02-안숙선-적벽가_삼고초려_당당한_유현주_vocal.mid,330-360s,2.371422,0.0,0.0
fold3_0314_181717,highest,7,f3bd2bc7-05_심청가_--_심봉사_젖동냥_vocal.mid,60-90s,2.282338,0.111864,0.050305
fold3_0314_181717,highest,8,f5c7134a-04-성우향-춘향가_갈까부다돈타령_vocal.mid,210-240s,2.033826,0.638796,0.249347
fold3_0314_181717,highest,9,f3bd2bc7-05_심청가_--_심봉사_젖동냥_vocal.mid,90-120s,1.938203,0.409396,0.151741
fold3_0314_181717,highest,10,abd9258f-02-안숙선-적벽가_장비_나오는_데_vocal.mid,360-390s,1.725366,0.503333,0.167406
